 Score: %d of %d%13s%s%1s	 分數：%d / %d%13s%s%1s
Come on, come on! I don't have all day.	快點快點！我可沒那麼多時間耗在這。
The cast-off refuse of a dozen worlds clings to every available surface of the store.  You're astonished at the diversity.  You're even more astonished that someone would buy this stuff.	這間店裡每一寸表面，都堆滿了來自十幾個星球的廢棄雜物。你對這種琳瑯滿目感到驚訝，但更驚訝的是居然有人會買這些東西。
The glass counter, smeared with the fingerprints (and who knows what else) of countless off-world species, covers an impressive array of over-priced rocks and gems.  Atop the counter is a rack of colorful post cards from all corners of the galaxy.	玻璃櫃上沾滿了無數外星物種留下的指紋（天曉得還有什麼），櫃子裡陳列著一大堆漫天要價的石頭與寶石。櫃檯上還擺著一整排來自銀河各角落的繽紛明信片。
Imagine, if you will, a sleazy tourist trap in the middle of the howling desert on Phleebhut.   The proprietor looks like the unfortunate offspring of a union between a squid and a Vorlian gas beast.  His keen business mind and utter lack of scruples afford him a comfortable living here on the backside of civilization.	請你想像一下，在弗利布特狂風呼嘯的沙漠正中央，有一間廉價的觀光陷阱商店。老闆長得就像烏賊和沃利安瓦斯獸不幸結合生下的產物。靠著精明的生意頭腦和毫無底線的手段，他在這文明邊陲之地過得相當滋潤。
A mouth whose favorite word is 'money' grins at you between sales pitches.	這張嘴巴最愛掛在嘴邊的字就是「錢」，一邊推銷一邊對你咧嘴笑。
The bulging, reptilian eyes scan you greedily.	那雙鼓凸的爬蟲類眼睛，貪婪地打量著你。
This is not Police Quest.	這裡又不是《Police Quest》。
The skull of a horned Phleebeast hangs from the rafters.	屋樑上掛著一顆長角弗利獸的頭骨。
Many colorful gems are proudly displayed.   Why.. Those green gems at the end there look just like the orium in your pocket.	這裡自豪地展示著許多五顏六色的寶石。咦…末端那些綠色寶石，看起來就跟你口袋裡的歐利姆礦石一模一樣。
Many colorful gems are proudly displayed.   Why.. Those green gems at the end there look just like the orium you found in the swamp on Labion.	這裡自豪地展示著許多五顏六色的寶石。咦…末端那些綠色寶石，看起來就跟你在拉比恩沼澤裡找到的那塊歐利姆礦石一模一樣。
The floor below, the ceiling above. The physical laws of the universe are unchanging.	地板在下，天花板在上。宇宙的物理法則從未改變。
The pleasant landscape of Phleebhut stretches to the horizon.	弗利布特這片宜人的風景，一路延伸到地平線盡頭。
The walls keep the ceiling and the floor from slamming into each other.	這些牆壁讓天花板跟地板不至於撞在一起。
The glass is, as usual, transparent.	這片玻璃跟往常一樣，是透明的。
The rack holds many interesting postcards.	架子上擺著許多有趣的明信片。
Mercifully, it covers his somewhat repulsive body.	幸好，它遮住了他那副有點噁心的身軀。
The shelves are arrayed with some fine examples of the natural wonders of this planet.  Also some worthless junk that can only be found in a fine tourist establishment such as this.	架上陳列著一些這顆星球上難得一見的自然奇觀，此外也有些一文不值的破爛，這種東西也只有在這種高檔觀光店才找得到。
He's not listening to you, he likes the sound of his own voice too much.	他根本沒在聽你說話，他太陶醉在自己的聲音裡了。
Come on, don't tear the place up!	拜託，別把這地方拆了！
You've come this far without resorting to crime; don't start now.	你都撐到現在都沒犯罪了，別在這種時候破功。
Not a real appealing thought.	這念頭一點也不吸引人。
You don the jaunty hat.  You feel more sporty already!	你戴上這頂時髦的帽子，馬上感覺自己帥氣不少！
You're not wearing the hat.	你並沒有戴著帽子。
Everything has a price around here.  You'll have to try buying it.	這裡的東西每樣都要錢，你得先付錢才能拿。
Admittedly, they're very nice, but you already own one.	老實說，這些東西是不錯，但你已經有一個了。
Come on, noboby buys that stuff!	拜託，才沒人會買這種東西！
Sorry friend, these gems are just for gawkin'at. They're quite valuable don'tcha know.	抱歉啦朋友，這些寶石只能看看不能碰。它們可值錢得很呢，你知道嗎。
If you wanted Orium, you shouldn't have sold your only piece!	你要是想要歐利姆礦石，當初就不該把手上唯一的那塊給賣了！
You almost buy one, then realize that you don't have any friends to send one to.	你差點就要買下一張，但轉念一想，發現自己根本沒有朋友可以寄。
"A wise choice.  I'm sure you'll be very, very pleased!"	「明智的選擇。我相信你一定會非常、非常滿意！」
Everything here costs 25 buckazoids, and you don't have that much!	這裡的東西一律要價二十五太空幣，而你身上根本沒那麼多錢！
Howdy, stranger!  The name's Blatz, Fester Blatz.  Welcome to World o' Wonders.  Go ahead, have a look at some of the trendiest items in the known universe.  Make the most of your vacation buckazoid! 	你好啊，陌生人！我叫布拉茲，費斯特·布拉茲。歡迎光臨奇觀世界。來瞧瞧咱們這已知宇宙裡最時髦的商品吧。把你的度假太空幣花得值回票價！
Pestulon, Pestulon.  Isn't that a deodorant?  No, no, that's PestBeGone.  Hmmmm, I think Pestulon's just south of the Lungfish Nebula.  Yeah, I'm sure that's where it is.	佩斯圖倫，佩斯圖倫。那不是除臭劑的牌子嗎？不對不對，除臭劑叫「除蟲寧」啦。嗯……我記得佩斯圖倫好像在肺魚星雲南邊，對，肯定沒錯。
They make Astro Chicken, don't they?  Kind of a hush hush operation from what I hear.  I've heard rumors that they're involved in the Two Guys From Andromeda kidnapping.	他們是做太空雞的吧？聽說做事挺神秘兮兮的。我聽說有謠言說他們跟仙女座雙傑的綁架案有關。
 Thanks for stop'n by!  Hey, looks like that lightning is gettin' close, better be careful out there!  	 謝謝光臨啊！嘿，那邊閃電好像越來越近了，在外面小心點！  
How about a nice Orat on a Stick! The kids'll just love this!  We're talkin' hours of fun for the whole family! Just look how cute this little guy is!  	來一份美味歐拉獸串怎麼樣！小朋友肯定超愛！全家大小都能玩上好幾個鐘頭！你看這小傢伙多可愛啊！  
Now here's a red-hot item, the Official Astro Chicken Flight Hat!  You'll really turn some heads in this sporty little number!  It's modeled after the hot new arcade game that's sweeping the galaxy.	現在要介紹的是超夯商品——官方版太空雞飛行帽！戴上這頂帥氣小物，保證讓你成為全場焦點！它可是照著那款席捲全銀河的當紅街機遊戲打造的呢。
Goin' to any high-temp planets?  This nice pair of ThermoWeave underwear'll keep your internal environment pleasant on even the sweatiest worlds.  	要去高溫星球嗎？這件熱織牌內衣就算在最悶熱的星球上，也能讓你私密處保持舒爽。  
 You just take your time, ya hear? Don't feel pressured to buy anything.  	 你慢慢看，別有壓力，不買也沒關係。  
I seen ya eyein' the display case.  You'll notice a very nice collection of orium crystals.  I think you'll agree that they're some of the highest quality gems on this hemisphere.  And priced to sell, too!	我看到你在盯著展示櫃看囉。你會發現這裡收藏了一批很不錯的歐利姆水晶。我想你也會同意，這些可是本半球數一數二的頂級寶石。而且價錢超划算！
 My, my, that certainly is one fine hunk o' orium!   	 哎呀呀，這塊歐利姆真是塊寶啊！   
 Well, 'fraid I can't go any higher. Maybe some other time, eh?  	 嗯，恐怕我沒辦法再加價了。下次有機會再說吧，嗯？  
 Yessiree, that's one fine hunk o' orium! Course, the orium market's a little slow today...  	 沒錯，這塊歐利姆真是一等一！不過呢，今天歐利姆市場行情有點淡……  
 Well, OK. Ya drive a hard bargain, stranger. Maybe some other time, eh?  	 好吧好吧，陌生人，你還真會殺價。下次有機會再說吧，嗯？  
"I'll take it off your hands for %d buckazoids.  Whaddya say?"	「我用 %d 元太空幣跟你收購，你覺得如何？」
You examine one of the many interesting post cards.	你查看了其中一張有趣的明信片。
             Arrakis                             Place A great spot for winter travel,              Stamp Arrakis holds many delights for               Here the adventurous vacationer. Nothing can compare with a blinding dust storm, or being crushed by a sandworm.  	             阿拉基斯                          貼 冬季旅遊的絕佳去處，              郵 阿拉基斯為喜愛冒險的               票 遊客準備了許多驚喜。沒有什麼比得上一場遮天蔽日的沙暴，或是被沙蟲活活壓扁的震撼體驗了。  
     Black Hole Bertha                       Place Like a giant interstellar                     Stamp vacuum, Black Hole Bertha                  Here comes sweeping through the galaxy. All travelers are advised to stay away from Bertha. Just buy the post card, then tell everyone you went there.  	     黑洞柏莎                       貼 就像一台巨大的星際                     郵 吸塵器，黑洞柏莎正                  票 橫掃整個銀河系。建議所有旅客千萬別靠近柏莎。買張明信片就好，然後跟大家說你去過那裡了。  
             Ortega                             Place The volcanoes of Ortega are                 Stamp constantly reshaping its                       Here surface. Dressed in heat resistant underwear, the hearty traveler can find a lava lovers paradise on this starkly enjoyable planet.  	             歐特加                             貼 歐特加的火山不斷                 郵 重塑著它的                       票 表面。穿上耐熱內衣，勇於冒險的旅人就能在這顆風情獨具的星球上，找到熔岩愛好者的天堂。  
         RobertaLand                           Place Come join the fun at the                      Stamp funpark of the future!                         Here See characters from your favorite stories come to life again and again. Recently revised, so don't miss a single thrilling scene.  	         蘿貝塔樂園                           貼 來加入未來的                      郵 歡樂樂園吧！                         票 看你最愛故事裡的角色一次又一次躍然眼前。最近才剛翻新，精彩場面一幕都別錯過。  
   Beta Alpha Starless Region               Place Looking for some real                      Stamp solitude? Come to a place                   Here that's so far from everything that you can't even see stars. Mind-numbing boredom greets you as you drift aimlessly through nothing. A must for the brain-dead!  	   貝塔阿爾法無星帶               貼 想要真正的                      郵 與世隔絕嗎？來個                   票 遠到連星星都看不見的地方吧。在虛無中漫無目的地漂流，迎接你的是麻木無感的無聊。腦死人士必訪景點！  
             Achoron                            Place The friendly creatures of                    Stamp Achoron are a delight for                     Here young and old alike. Tame enough to come right up and caress you, yet wild enough to slash you to shreds if provoked.  	             阿科隆                            貼 阿科隆上友善的                    郵 生物老少咸宜。                     票 牠們溫馴到會主動靠過來讓你撫摸，但一旦惹毛了，也野性到能把你撕成碎片。  
There are sand dunes over most of Phleebhut. They hold no particular interest for you, except as an annoying obstacle to your progress.	弗利布特星球上到處都是沙丘。對你來說沒什麼特別的，頂多是擋你路的討厭障礙物。
The ground beneath your feet is composed of an unusually colored sand. Other than it's bizarre coloration, you have no other interest in it. However... as you expectorate a mouthful of the wind blown sand you briefly reminisce about your adventure on Kerona (SQ I ).	你腳下的地面是由顏色詭異的沙子構成。除了那詭異的色澤之外，你對它沒什麼特別興趣。不過……當你吐出一嘴被風吹進來的沙子時，你不禁短暫回想起在克羅那（宇宙傳奇 I）的那段冒險。
You see your feet.	你看到自己的腳。
What a cute little scorpazoid! Perhaps you should pick it up and take it with you.	好可愛的小蠍角獸！或許你該把牠撿起來帶著走。
A range of craggy peaks appear on the horizon far to the north. Occasionally, one is struck by lightning.	遠方北方的地平線上，出現一列崎嶇的山峰。偶爾會有山頭被閃電擊中。
Hmm. The footprints seem to be following you. I wonder who they could belong to.	嗯，這些腳印好像一直跟著你。不知道是誰的腳印。
You don't see any here.	你看不到這裡有任何東西。
The worn rocks seem to give evidence of millions of years of fierce sandstorms. Sure hope one of them doesn't come up while you're here.	這些被磨得光滑的岩石，似乎見證了數百萬年來猛烈沙暴的洗禮。真希望你在這裡的時候別遇上一場。
Yes, those are clouds. I wonder if they contain water vapor, or some highly toxic substance such as ...	沒錯，那些是雲。不知道裡面裝的是水蒸氣，還是某種劇毒物質，例如……
The mountains are closer now.	山現在離你更近了。
You don't see any reason to do that.	你想不出有什麼理由要這麼做。
You don't see any reason to do that. Besides, most of them are too big to carry anyway.	你想不出有什麼理由要這麼做。再說，這些大多數都太大了，你根本搬不動。
You'll have to get close enough first.	你得先靠近一點才行。
You can run, but you can't hide.	你可以逃，但躲不掉。
You might chap your delicate hands since you don't have a shovel.	你沒有鏟子，這麼做可能會弄傷你那雙嬌貴的手。
You need to get close enough.	你得靠近一點才行。
That would serve no purpose.	這麼做沒有任何意義。
You are in	你目前位於
The invisibility belt is now out of power.	隱形腰帶現在沒電了。
It's already dead.	牠已經死了。
It's already off.	它已經關了。
Where'd he go? I could have sworn... Nah, couldn't be.	他跑去哪了？我發誓我剛剛看到……算了，不可能的。
You here someone coming toward you.	你聽到有人朝你走來。
There he is!	他在那裡！
OH NO! A venomous scorpazoid. Watch out.	糟了！一隻有毒的蠍角獸。小心點。
The Scorpazoid's stinger hits it's mark sending electro-plasmatic venom into your system. Death comes quickly.	蠍角獸的毒針正中目標，將電漿毒液注入你體內。死亡很快就降臨了。
Uh Oh!  That detonator has apparently set off a chain reaction of earthquakes.  You'd better get off this rock A.S.A.P.	糟糕！那個引爆器顯然觸發了一連串連鎖地震反應。你最好盡快離開這顆星球，越快越好。
You find yourself at the base of a seemingly extinct volcano.	你發現自己身處一座看似死火山的山腳下。
You find yourself at the base of a seemingly extinct volcano.  There is a short range scout ship parked here.  But where is the pilot?	你發現自己身處一座看似死火山的山腳下。這裡停著一艘短程偵察艇，但駕駛員上哪去了？
The planet Ortega is truly a lava-lovers paradise.   Volcanic activity constantly reshapes it's surface, so if you have any maps older than last week, throw 'em out.	歐特加星球真的是熔岩愛好者的天堂。火山活動不斷重塑星球表面，所以如果你手上的地圖是上星期以前印的，直接丟了吧。
In the distance, volcanoes spew magma from deep within the molten interior.	遠方的火山，正從熔融的地心深處噴發岩漿。
Like a river of orange sludge, searing lava flows through the crevasses below you.  Pleasure boating is not recommended.	灼熱的岩漿像一條橘色泥流，在你腳下的裂縫間流淌。不建議在此划船遊玩。
Throughout the years, many rocks have been deposited in the vicinity by the volcanic activity.	多年來，火山活動在這一帶堆積了不少岩石。
Like a lake of orange sludge, searing lava flows through the crevasses below you.  Pleasure boating is not recommended.	灼熱的岩漿像一片橘色泥湖，在你腳下的裂縫間流淌。不建議在此划船遊玩。
The atmosphere has a definite red tint to it from the belching volcanoes and glowing lava.	大氣因為不斷噴發的火山與熾熱岩漿，染上了一層明顯的紅色調。
The sheer cliffs lead straight down to the searing lava below.  Watch your step.	陡峭的懸崖直通下方灼熱的岩漿。走路小心點。
The ground is cracked by the constant heating and cooling of this unstable planet.	這顆星球忽冷忽熱、極不穩定，地面因此龜裂遍布。
The molten lava casts a mysterious glow on the sides of the deep fissures. Watch your step.	熔融的岩漿在深邃裂縫的兩側投下神祕的光芒。走路小心點。
The smooth walls of the machine have no climbing surfaces.	這台機器的牆面光滑，沒有可以攀爬的地方。
The smooth walls of the crevices have no climbing surfaces.	裂縫的牆面光滑，沒有可以攀爬的地方。
Your faithful ship waits patiently for you to return and embark on your interplanetary wanderings.	你忠實的太空船正耐心等你歸來，準備再次展開星際流浪之旅。
In the distance, your faithful ship waits patiently for you to return and embark on your interplanetary wanderings.	遠方，你忠實的太空船正耐心等你歸來，準備再次展開星際流浪之旅。
There are no doors on this planet.	這顆星球上沒有門。
Jumping into boiling lava is not recommended.	不建議跳進滾燙的岩漿裡。
The ladder is firmly attached to the machine.	這座梯子牢牢固定在機器上。
There's no ladder around here.	這附近沒有梯子。
Come on, you've got better things to do than lug rocks around.	拜託，你有更重要的事情要做，不是在這裡搬石頭。
Don't bother; you'll just get dirty.	別費心了，你只會把自己弄髒而已。
It has an impact switch, just drop it to set it off.	它裝有撞擊開關，只要丟下去就會引爆。
It would be a little embarassing to disrobe out here on the planets' surface.  Why not go back to your ship?	在這星球表面脫衣服有點尷尬吧。何不回你的太空船再說？
Nah, just leave 'em on.	算了，還是穿著吧。
You're not wearing any shorts.	你沒穿短褲。
The sharp edges of the cooled lava would slice you to ribbons.  You decide against it.	冷卻熔岩的銳利邊緣會把你割成碎片，你決定還是算了。
Too late you realize that walking around unprotected on this planet is hazardous to your health.  You feel your blood begin to boil.	你太晚才意識到，在這顆星球上沒有防護裝備到處走動有害健康。你感覺血液開始沸騰。
You sizzle into oblivion.  This planet wouldn't be so bad if you could keep cool somehow.	你被烤到灰飛煙滅。如果能想辦法保持涼爽，這顆星球其實也沒那麼糟。
Hate to make you feel stupid, but you're already looking!	不想讓你難堪，但你已經在看了！
That's the moon, alright!  It's known around these parts as 'Pestulon'.	沒錯，那就是那顆月球！這一帶的人都叫它「佩斯圖倫」。
No more beam.  You broke it, remember?	光束沒了。你把它弄壞了，記得嗎？
The force beam forms a protective energy shield around the moon.	力場光束在月球周圍形成一道防護能量護盾。
It looks like something from an old science fiction movie.	這東西看起來像老科幻電影裡的道具。
There's nothing to get here.	這裡沒什麼好拿的。
AHA!!!  You've discovered the force beam generator!   And that moon must be Pestulon.	啊哈！！！你發現了力場光束發生器！那顆月球一定就是佩斯圖倫。
What is that thing, anyway?  Whatever it is, you busted it real good.	這到底是什麼東西？不管是什麼，你把它砸得挺徹底的。
What is that thing, anyway?  Maybe it's a TV transmitter, beaming game shows and championship wrestling to all corners of the globe.	這到底是什麼東西？搞不好是電視發射器，把益智節目和摔角冠軍賽播送到全球每個角落。
Yep, the broken generator's still there.  How many times ya gonna look at it?	沒錯，壞掉的發生器還在那。你到底要看幾次啊？
Yep, that thing's still there.  But it's not beaming anymore since you broke it.	沒錯，那東西還在。不過自從被你弄壞後就不再發射了。
Yep, the generator's still there.  How many times ya gonna look at it?	沒錯，發生器還在那。你到底要看幾次啊？
Yep, that thing's still here.  How many times ya gonna look at it?	沒錯，那東西還在這。你到底要看幾次啊？
It's junk. You don't need junk. Now, think of something better and let's get on with the game!	那是垃圾。你不需要垃圾。想點更有建設性的事，我們繼續玩遊戲吧！
I wouldn't mess with them. They look dangerous.	我不會去碰它們，看起來很危險。
What a great way to die a slow and painful death. As appetizing as that sounds, you wisely opt against it.	這真是慢慢痛苦死去的好方法。聽起來雖然「誘人」，但你明智地打消了念頭。
How crude.	真粗俗。
No time for that.	現在沒空做這個。
You hear nothing of note.	你沒聽到什麼特別的。
Your taste is in serious question.	你的品味大有問題。
Ah! You're one of those!	啊！原來你是這種人！
You'd do more harm than good.	你這樣做只會弄巧成拙。
There are matters more pressing than debris relocation at this juncture in time. Besides, that stuff looks sharp and heavy. You're no poster child for manual labor.	現在有比搬垃圾更急迫的事。況且那些東西看起來又尖又重，你也不是勞力活的料。
Your utterance echoes about the metallic confines of the area. No answer is forthcoming.	你的喊聲在金屬牆面間迴盪，沒有得到任何回應。
Hey! Don't be a baby!	嘿！別像個小屁孩一樣！
You won't be doing that here.	這裡不能做這件事。
It won't help you at this time.	現在這樣做沒有幫助。
You stare at the ceiling which, as usual, is overhead. You see nothing particularly unique about the structure except some kind of track running high above you. It seems to run the length of the freighter.	你抬頭盯著天花板——一如往常，它就在你頭頂上。這結構沒什麼特別的，只是頭頂高處有條軌道，看起來貫穿了整艘貨輪。
They look like pieces of metal which have been welded together.	它們看起來像是焊接在一起的金屬碎片。
Not much about it can be learned from down here.	從這裡看不出什麼名堂。
The steep piles of scrap metal are chock-full of jagged edges and barbed protrusions.	高聳的廢金屬堆滿是鋸齒邊緣和帶刺的突起物。
You'll find nothing ground-like in this synthetic environment.	在這人造環境裡找不到任何像地面的東西。
The walls and most other objects in the area seem to be randomly splattered with a zesty brew of coolants, lubricants, propellants, and other types of spaceship squeezings.	這一帶的牆壁和大部分物體上，似乎隨機潑濺著一種辛辣的混合物：冷卻劑、潤滑油、推進劑，以及各種太空船的分泌物。
All available Light is being ported into the room via a series of vents in the ceiling.	所有的光線都是透過天花板上一連串通風口導進這個房間的。
Strewn about are the totally gutted carcasses of many a formerly worthy craft.	四處散落著許多曾經風光一時的太空船殘骸，早已被掏空得一乾二淨。
There are various useless plates of metal scattered about the ship. I wouldn't mess with them.	船上到處散落著各種沒用的金屬板。我不會去碰它們。
A quick self-appraisal suggests that you are not horribly ugly. You guess you'd be a good catch.	快速自我評估一下，你長得也沒醜到哪去。你猜自己應該算個不錯的對象。
An inspection of yourself reveals nothing outstanding.	檢查了一下自己，沒發現什麼特別的。
Are you crazy? You've got adventuring to do.	你瘋了嗎？你還有冒險要忙呢。
That won't help you now.	這對現在的你沒有幫助。
That's only helpful in Space Quest II.	那招只有在《宇宙傳奇 II》裡才有用。
That won't help you.	這對你沒有幫助。
What do you think you are, a metallic gopher?	你以為自己是什麼，金屬地鼠嗎？
Unless you are capable of defying artificial gravity, forget it.	除非你能違抗人造重力，不然想都別想。
Dream on.	作夢吧。
They are too rigid and heavy for you to manipulate.	它們太硬太重了，你搬不動。
Sorry. They're welded in place.	抱歉，它們是焊死的。
You have no effect on the motivator.	你對推進器起不了任何作用。
WARNING:  Short range fighters approaching from rear.  Weapons lock-on detected.	警告：偵測到短程戰鬥機從後方接近，武器已鎖定。
You are in the cost-efficient corporate accounting department of ScumSoft, Inc. These hard-working accountants are trying to figure out where the company spends its money.	你在廢渣軟體公司精打細算的會計部門。這群認真的會計正努力搞清楚公司的錢都花到哪去了。
Just another section in this maze of partitions.	又是這片隔間迷宮裡的另一個區塊。
The cabinet is locked (regardless, you wouldn't find anything useful).	櫃子鎖著（反正你也找不到什麼有用的東西）。
Everyone here looks related. It's like a secret society of nerds.	這裡的人看起來都像親戚，簡直像個宅男秘密結社。
Such a sight.	真是「壯觀」。
Look but don't touch.	只能看，不能摸。
Hardly an appropriate action for a janitor.	這不太像清潔工該做的事。
"Attention Attention: We have a very special birthday today! Our founder Mr. Pug has just turned 14; so stop by and give Elmo a big ol' hug."	「各位請注意注意：今天是個特別的生日！我們的創辦人帕格先生剛滿十四歲，快來給艾爾莫一個大大的擁抱吧。」
"Attention everyone: Mr. Pug has just announced that Sunday will be a half-day!"	「各位請注意：帕格先生剛剛宣布星期天只上半天班！」
Mr. Garbage is not a toy!	垃圾先生不是玩具！
Tsk. Tsk. Such a waste of vaporfuel.	嘖嘖，真是浪費氣化燃料。
Aren't you taking this janitor-bit a little too seriously?	你把清潔工這件事看得太認真了吧？
Oops! You missed.	哎呀！你沒打中。
William Tell you are not.	你可不是威廉泰爾。
Stand closer -- it's shorter than you think.	站近一點——它比你想的還短。
You just put a nasty burn mark in the carpet.	你在地毯上留下一道難看的焦痕。
You're starting to arouse suspicion with your marksmanship.	你的槍法開始讓人起疑了。
That didn't accomplish much.	那沒什麼用。
Uh-oh! You're in deep trouble now. These guys know that a real janitor would never bypass a full waste basket.	糟了！你這下麻煩大了。這些傢伙很清楚，真正的清潔工絕不會放過裝滿的垃圾桶不清。
From your seat you see a handle (presently being gripped by you) which controls motion, and a button marked CLAW.	從你的座位上，你看到一根控制移動的操縱桿（目前正被你握著），還有一個標示著「CLAW（鐵爪）」的按鈕。
Not with your crank!	光靠你那支搖柄可不行！
You would be unable to climb safely. Don't even try it.	你沒辦法安全爬上去。想都別想。
You would be unwise.	那樣做太不明智了。
It would only result in a death so horrible that the mere description would cause you to revisit your last calorie download.	那種死法慘烈到光用講的，都會讓你把剛下載進肚子裡的熱量全部吐出來。
Looking down makes you dizzy.	往下看讓你頭暈目眩。
That's not here to see.	這裡沒有那個東西可看。
The walls are made of the same composite material as in other locations around this junk-strewn hell-hole.	這些牆壁跟這個垃圾遍地的鬼地方其他角落一樣，都是用相同的複合材料做的。
The rail is supported by beams hanging from the ceiling. It's probably used by some sort of scrap transport equipment.	這條軌道由天花板垂下來的樑架支撐著，看起來是某種廢料搬運設備在用的。
The rail is supported by beams hanging from the ceiling. The grabber hangs beneath it.	這條軌道由天花板垂下來的樑架支撐著，下方掛著一個抓取器。
All available light is being ported into the room via a series of vents in the ceiling.	房間裡所有的光線，都是透過天花板上的一排通風口引進來的。
Light is pouring in from small vents around the ship.	光線從船身四周的小通風口灑了進來。
That wouldn't be helpful.	那樣做沒有幫助。
Leave it alone. It has no human interface capability.	別碰它。它沒有人機互動介面。
That isn't here.	這裡沒有那個東西。
Please remain seated while riding the grabber.	搭乘抓取器時請坐好。
A grimy button on the panel reads "CLAW."	面板上有個髒兮兮的按鈕，寫著「CLAW（鐵爪）」。
Leave that to the grabber.	那件事交給抓取器處理就好。
You can't do that yourself.	你自己辦不到那件事。
Your view of the grabber from here reveals a Forward/Reverse control stick (currently grasped), and a button marked 'CLAW'	從這裡看抓取器，你看到一根前進∕後退控制桿（目前正被握著），還有一個標示著「CLAW（鐵爪）」的按鈕
That's not necessary.	沒那個必要。
That wouldn't be safe.	那樣做不安全。
You aren't able to do that presently.	你現在辦不到那件事。
That isn't currently one of your options.	那目前不是你能選的選項。
New save-game directory:	新的存檔目錄：
%s is not a valid directory	%s 不是有效目錄
You must type a description for the game.	你必須為遊戲輸入描述。
File: %s	檔案：%s
Your save game disk is full. You must either use another disk or save over an existing saved game.	你的存檔磁片已滿。你必須使用另一張磁片或覆蓋現有的存檔。
That game was saved under a different interpreter. It cannot be restored.	該遊戲是用不同的直譯器存檔的。無法還原。
I don't understand "%s".	我不懂「%s」。
That doesn't appear to be a proper sentence.	這似乎不是適當的句子。
That sentence doesn't make sense.	那句話沒有意義。
You've left me responseless.	你讓我無言以對。
Please insert your %s disk in drive %s.	請在 %s 磁碟機中插入你的 %s 軟碟。
"THE PIRATES OF PESTULON" Created and Written by Mark Crowe and Scott Murphy Programmed by Scott Murphy, Doug Oldfield, Ken Koch, Chris Smith Graphics by Mark Crowe Development System by Jeff Stephenson, Bob Heitman, Pablo Ghenis, Stuart Goldstein Music by Bob Siebenberg Sound FX & Music Editing by Mark Seibert Version %s	「PESTULON 的海盜」創作與編劇：馬克·克羅(Mark Crowe)與史考特·墨菲(Scott Murphy) 程式設計：史考特·墨菲、道格·奧德菲爾德(Doug Oldfield)、肯·科克(Ken Koch)、克里斯·史密斯(Chris Smith) 美術：馬克·克羅 開發系統：傑夫·史蒂芬森(Jeff Stephenson)、鮑伯·海特曼(Bob Heitman)、帕布羅·蓋尼斯(Pablo Ghenis)、史都華·戈德斯坦(Stuart Goldstein) 音樂：鮑伯·西本柏格(Bob Siebenberg) 音效與配樂剪輯：馬克·賽伯特(Mark Seibert) 版本 %s
      DURING THE GAME: Click at the top of the screen or press ESC to use the menus. Additional shortcuts are shown there.       IN TYPING WINDOWS: Arrows, Home and End move the cursor, or click anywhere with the mouse. Ctrl-C clears the line.       IN DIALOG WINDOWS: Enter selects the outlined item, or click on items with the mouse. Tab and Shift-Tab move between choices. ESC always cancels. 	      遊戲進行中：點擊螢幕上方或按 ESC 開啟選單，選單中會顯示更多快捷鍵。       輸入視窗中：方向鍵、Home 和 End 可移動游標，也可用滑鼠點擊任意位置；Ctrl-C 可清除整行文字。       對話視窗中：Enter 選取框選項目，也可用滑鼠點擊項目；Tab 與 Shift-Tab 可在選項間切換；ESC 一律取消。
Sorry. Not now.	抱歉，現在不行。
You either just got snuffed or you can't get enough of a truly great game. Am I right?	你要不是剛剛掛掉，就是玩到欲罷不能——我說得沒錯吧？
Leaving so soon? We'll be anxiously (yawn) awaiting your next visit. Be seeing you.	這麼快就要走了？我們會（打哈欠）殷切期盼你下次再來。回頭見。
Fine. Pause. Just don't be taking too long, OK? We don't want any babies playing this game.	好啦，暫停。別拖太久喔，我們可不希望有寶寶跑來玩這款遊戲。
Oh. I get it. You don't want your boss to know you've been playing Space Quest ]I[.	喔，我懂了。你是不想讓老闆知道你在玩《宇宙傳奇 III》。
That's a good idea but I'm afraid that, being the good company men that we are, we can't help you cheat like that. Sorry.	這主意不錯，但我們畢竟是奉公守法的公司員工，恐怕沒辦法幫你這樣作弊。抱歉。
%s [Collection of size %d]	%s [集合大小 %d]
%s [List of size %d]	%s [列表大小 %d]
%s [Set of size %d]	%s [集合大小 %d]
Turn Off	關閉
Turn On	開啟
Deceleration Trauma	減速創傷
It wouldn't be so bad, except for the sudden stop at the end.  Next time, don't get so close to the edge.	過程其實還好，只是最後那突然的煞停有點要命。下次別靠邊緣那麼近。
New, Improved Quick Tanning Method	全新加強版、快速曬黑法
You never did care for fondue.  Next time, don't get so close to the edge.	你向來就不愛吃起司鍋。下次別靠邊緣那麼近。
Rats!	該死！
You may not be Purina Rat Chow, but you'll do!	你雖然不是普瑞納鼠糧，但也將就著吃吧！
It Slices, It Dices...	又切又剁……
You're a less-than-choice cut, Wilco!	威爾科，你這下可不是什麼上等肉了！
Decompression Blues	減壓憂鬱
Sudden Decompression Sucks!	瞬間減壓真的有夠慘！
A Slimmer, Trimmer You!	更瘦、更精實的你！
A quick, but painful, way to shed those extra inches.	快速甩掉多餘體重的方法，只是有點痛。
Learn to Drive That Thing!	學著開那玩意兒吧！
Your radar is designed to avoid just such an occurrence.	你的雷達本來就是設計來避免這種事發生的。
One Way to Lower Your Blood Pressure.	降血壓的其中一招。
A brave but fatal attempt at arterial art.	一次勇敢卻致命的「動脈藝術」嘗試。
